ID	Hits	Coverage	P-value	P-adjust
Valine, leucine, and isoleucine metabolism	2/23	23/48	0.13795203279137472	0.2680210922803852
Vitamin A metabolism	1/21	21/34	0.4630324671626023	0.5078420607589832
Vitamin B2 metabolism	2/14	14/16	0.057773039831632705	0.18546480886829864
Vitamin B6 metabolism	1/13	13/15	0.3177743472365831	0.38809125964726615
beta-Alanine metabolism	1/19	19/25	0.4297398929560628	0.4952934359493605
Exchange/demand reaction	1/621	621/639	0.9904306220095693	0.9904306220095693
Pyrimidine synthesis	1/26	26/34	0.04146730462519936	0.12440191387559808
Transport, extracellular	1/371	371/407	0.5917065390749601	0.8875598086124401
	3/257	257/445	0.3341560672424049	0.364533891537169
Exchange/demand reaction	5/621	621/639	0.952912557419889	0.952912557419889
Fatty acid oxidation	2/96	96/337	0.16996782389811077	0.29719124949015197
Fatty acid synthesis	3/14	14/91	8.668983236842018e-05	0.0010402779884210423
Glycolysis/gluconeogenesis	1/32	32/49	0.23109486026015744	0.30812648034687656
Nucleotide interconversion	2/52	52/78	0.057379492634375175	0.2295179705375007
Purine synthesis	1/20	20/29	0.15008320183848958	0.29719124949015197
Pyrimidine catabolism	2/36	36/47	0.028745711050266458	0.17247426630159876
Pyrimidine synthesis	1/26	26/34	0.19140038136865917	0.29719124949015197
Transport, mitochondrial	2/100	100/152	0.1819722137887845	0.29719124949015197
Transport, nuclear	1/27	27/52	0.1981274996601013	0.29719124949015197
Transport, peroxisomal	1/39	39/95	0.2754185210764546	0.3305022252917455
Exchange/demand reaction	1/621	621/639	0.9904306220095693	0.9904306220095693
Glycolysis/gluconeogenesis	1/32	32/49	0.051036682615629984	0.12440191387559808
Pyruvate metabolism	1/20	20/33	0.03189792663476874	0.12440191387559808
Transport, extracellular	1/371	371/407	0.5917065390749601	0.710047846889952
Transport, mitochondrial	1/100	100/152	0.15948963317384365	0.2392344497607655
Transport, peroxisomal	1/39	39/95	0.06220095693779904	0.12440191387559808
	1/257	257/445	0.4098883572567783	0.6831472620946305
Alanine and aspartate metabolism	1/23	23/28	0.03668261562998405	0.18341307814992025
Exchange/demand reaction	1/621	621/639	0.9904306220095693	0.9904306220095693
Transport, extracellular	1/371	371/407	0.5917065390749601	0.7396331738437001
Transport, mitochondrial	1/100	100/152	0.15948963317384365	0.3987240829346091
Aminosugar metabolism	3/23	23/40	0.0008053562288428695	0.0039446044498604805
Exchange/demand reaction	6/621	621/639	0.9437204748724303	0.9558555593291483
Hyaluronan metabolism	2/6	6/10	0.00112702984281728	0.0039446044498604805
N-glycan degradation	1/6	6/18	0.05627952512756971	0.098489168973247
N-glycan synthesis	1/14	14/62	0.12719163193634017	0.17806828471087624
Transport, extracellular	2/371	371/407	0.9558555593291483	0.9558555593291483
Transport, lysosomal	2/33	33/59	0.03530026875786677	0.0823672937683558
Exchange/demand reaction	1/621	621/639	0.9904306220095693	0.9904306220095693
Transport, extracellular	1/371	371/407	0.5917065390749601	0.8875598086124401
beta-Alanine metabolism	1/19	19/25	0.030303030303030304	0.09090909090909091
